"CPSIGEN","CPSA3","CPSG1","CPSO11","CPSA2"
1,2,7,1,1
1,1,5,1,3
1,5,5,1,1
5,98,3,1,7
5,5,5,1,1
5,5,5,1,1
5,2,5,9,1
NA,98,7,1,1
1,5,5,14,1
5,5,3,1,1
1,5,5,1,3
1,5,7,1,1
5,98,7,1,1
5,2,5,1,1
5,98,7,1,3
1,1,7,1,1
1,98,7,1,1
1,98,5,1,3
5,98,7,1,1
1,5,5,1,1
5,98,7,1,7
1,98,7,1,3
5,98,3,1,5
1,98,3,1,1
1,1,5,1,8
1,98,7,1,1
1,99,5,1,1
1,2,7,1,7
5,5,3,1,1
5,1,8,1,1
5,5,1,1,1
5,1,7,1,1
1,1,3,1,1
1,98,7,1,1
5,97,7,9,8
5,5,7,1,7
1,5,7,1,1
5,1,3,1,3
NA,2,3,1,1
1,5,5,1,1
NA,1,5,1,1
1,1,1,9,1
5,5,7,1,3
5,96,8,99,7
5,99,7,1,1
NA,5,5,1,1
1,5,5,1,1
5,5,7,1,1
NA,98,7,1,3
NA,98,7,1,3
5,5,7,1,3
5,99,7,1,1
1,98,7,1,1
1,2,7,1,1
1,98,3,1,1
5,2,3,1,7
5,97,7,1,3
1,5,7,1,1
1,98,7,1,1
1,1,3,1,3
NA,1,5,1,1
5,98,7,1,3
5,2,7,1,1
NA,98,7,1,7
1,5,5,1,1
5,5,7,1,3
5,99,7,1,1
5,5,7,1,1
5,97,7,1,1
5,98,7,1,1
5,98,5,1,3
1,2,7,1,1
1,98,3,19,3
5,2,3,1,1
5,99,7,1,1
1,5,1,1,1
5,5,3,1,1
5,5,5,1,1
1,98,7,1,1
5,1,7,1,1
1,1,7,1,1
1,98,5,1,1
5,98,5,1,5
5,2,5,5,1
5,2,7,1,1
5,1,1,1,1
1,97,7,1,3
1,2,3,1,1
5,98,7,1,3
1,5,7,1,1
1,5,7,1,3
NA,2,7,1,1
NA,98,7,1,3
5,98,5,1,1
1,97,5,1,1
5,5,1,1,1
5,5,7,1,1
5,5,7,1,1
1,1,7,1,1
1,5,7,1,1
1,99,5,1,1
NA,5,3,1,1
NA,98,5,0,7
NA,98,7,1,3
5,2,5,1,1
NA,98,5,1,3
1,5,3,1,1
NA,98,7,1,1
5,5,7,1,1
1,1,3,1,1
1,98,7,4,1
1,2,3,1,1
5,5,7,1,1
1,2,5,1,1
NA,5,7,1,1
1,98,5,1,1
1,98,7,1,1
1,97,7,98,1
1,5,7,1,1
1,1,3,1,1
1,99,7,1,1
NA,98,3,1,1
1,1,1,1,1
1,5,7,1,1
NA,98,7,1,3
1,2,3,1,1
1,5,7,1,3
1,98,3,1,3
NA,98,7,1,1
NA,5,5,1,1
NA,98,3,1,1
NA,98,7,1,3
NA,5,5,1,1
1,97,3,1,1
5,2,5,1,1
5,96,7,1,1
NA,98,7,1,1
5,98,7,1,3
1,5,5,1,1
1,98,7,1,1
1,5,7,1,3
5,3,7,1,3
5,2,7,1,1
1,1,7,1,3
5,2,7,1,1
NA,2,5,1,1
5,2,1,1,3
NA,98,7,1,1
NA,5,5,1,3
5,5,5,1,1
1,3,7,1,5
1,5,7,1,1
5,98,7,1,1
5,0,5,1,1
5,98,5,1,3
5,99,5,1,1
5,98,3,1,1
5,98,3,1,1
5,98,8,1,3
5,5,5,1,1
1,96,7,1,5
NA,98,5,1,1
5,98,7,1,1
1,5,7,1,1
5,98,7,1,1
NA,98,5,1,1
1,97,7,1,3
5,1,7,1,7
1,98,7,1,1
1,96,7,1,7
5,2,3,1,1
5,5,5,1,1
1,96,7,1,7
5,5,3,1,1
1,2,7,1,1
5,5,7,1,3
5,2,5,1,1
1,2,5,1,1
NA,98,7,1,3
5,5,5,1,1
5,2,7,1,1
5,5,8,4,1
1,97,7,1,1
NA,98,7,1,7
NA,98,7,1,1
5,5,7,1,1
5,2,7,17,5
5,2,3,1,3
1,5,7,1,1
1,98,7,4,1
1,1,7,1,1
5,98,7,1,1
1,97,7,1,7
1,2,3,1,1
5,2,3,1,1
5,1,5,1,1
1,98,7,1,1
1,98,7,1,1
NA,1,8,1,1
5,5,7,1,1
5,2,5,19,1
1,5,7,1,1
5,5,7,1,5
5,1,7,1,1
1,5,7,1,1
1,99,7,1,1
1,96,7,19,1
NA,98,7,1,1
1,2,7,1,1
1,96,7,1,3
1,98,7,1,8
1,98,5,1,1
1,98,5,14,1
1,5,5,1,1
1,98,3,1,7
5,98,3,1,1
NA,98,3,1,1
1,5,7,1,3
1,1,5,1,1
1,98,5,1,1
1,2,7,1,1
NA,5,7,1,1
1,98,5,1,1
NA,98,3,1,3
1,5,7,1,1
5,5,7,1,3
1,1,5,1,1
5,1,3,1,1
NA,98,3,1,1
5,2,7,1,3
5,3,7,1,1
1,1,3,1,1
1,5,8,1,1
5,97,7,1,3
1,98,5,1,1
1,98,5,1,1
5,99,5,1,1
5,2,7,1,1
NA,0,5,1,1
NA,96,7,1,3
NA,98,7,1,1
1,98,7,1,1
5,5,7,1,1
1,5,7,1,1
5,98,5,1,1
5,98,5,1,1
1,5,7,1,1
1,98,7,1,1
5,98,7,1,3
1,0,5,1,1
1,5,7,4,1
5,1,1,14,1
1,98,5,1,3
1,98,5,1,1
1,99,7,1,1
5,98,5,1,1
NA,5,5,1,1
5,97,1,1,7
1,5,7,1,1
NA,2,5,1,1
5,5,7,1,3
5,98,7,1,1
1,2,7,1,1
5,2,3,1,1
5,98,7,1,1
5,5,7,1,1
NA,5,7,1,1
1,98,7,1,1
1,98,3,1,1
NA,5,7,1,1
1,99,7,1,1
1,5,3,1,1
NA,5,7,1,1
1,98,7,1,1
5,99,7,1,1
NA,98,7,1,3
1,98,7,1,1
1,99,7,1,1
5,2,7,1,1
NA,2,7,1,1
5,2,5,1,1
1,5,7,1,1
1,5,7,1,1
1,5,5,1,1
1,5,7,1,3
5,2,7,1,1
5,5,7,1,1
NA,5,7,1,1
1,5,7,4,1
1,0,7,12,1
1,97,7,1,1
1,97,7,1,7
5,98,7,0,1
1,2,7,1,3
NA,98,7,1,3
1,2,7,1,1
1,5,7,1,1
5,2,7,1,3
NA,99,5,1,1
1,5,3,1,1
1,2,7,1,1
NA,99,5,1,1
1,5,7,1,1
1,98,8,1,1
NA,98,7,1,1
NA,5,7,1,1
NA,99,7,1,1
5,98,7,9,1
NA,98,7,1,1
1,5,5,1,1
5,5,7,1,3
NA,5,3,1,1
1,1,7,1,1
5,2,7,1,3
NA,5,5,1,1
5,5,7,1,1
1,2,3,1,3
1,2,5,18,3
1,5,7,1,1
NA,1,1,1,1
NA,2,7,1,1
NA,99,7,1,1
NA,5,7,1,1
5,1,5,1,1
1,5,7,1,1
1,98,7,1,3
1,5,7,1,1
1,5,5,1,1
1,96,7,1,5
NA,5,7,1,1
1,99,7,1,1
1,5,7,1,1
1,98,7,1,1
1,2,7,17,1
5,5,5,1,1
NA,1,3,1,1
5,99,7,1,1
1,2,7,1,3
1,99,7,1,1
5,96,7,1,5
5,98,7,1,1
1,98,7,1,1
1,2,3,1,1
5,2,7,1,1
1,5,5,1,1
NA,98,7,1,3
NA,5,3,1,1
1,98,7,1,1
5,98,5,1,7
1,5,5,1,1
5,5,7,1,1
NA,0,7,1,1
5,2,7,1,1
5,5,7,1,1
5,98,7,1,1
1,1,5,1,1
5,5,3,1,1
1,99,7,1,1
5,98,7,1,1
1,0,3,1,3
1,5,5,1,1
NA,98,7,1,3
NA,98,8,1,1
1,99,7,1,1
5,5,7,1,1
1,99,7,1,3
5,2,7,1,1
5,98,7,1,1
5,5,7,1,1
1,98,7,1,1
1,5,7,1,1
1,2,5,1,1
5,5,7,1,1
5,97,7,1,7
1,99,3,1,1
NA,5,7,1,1
5,2,5,1,3
1,2,7,1,1
1,98,7,17,1
5,2,7,1,1
1,4,7,1,1
5,4,5,10,5
5,2,7,9,3
5,1,7,19,1
5,2,7,1,1
5,1,7,1,7
5,96,5,1,7
1,4,7,1,1
5,97,7,1,7
5,1,7,1,1
5,98,7,1,1
5,1,5,1,1
5,98,7,1,7
1,2,7,1,1
5,2,7,2,1
5,2,7,1,1
5,97,7,1,7
NA,98,7,1,1
1,96,3,1,7
1,0,7,1,7
5,2,5,1,7
1,4,5,1,1
5,2,5,1,1
NA,98,8,1,5
5,98,5,1,1
1,1,7,19,1
1,98,5,1,1
1,99,5,1,1
1,4,7,1,1
5,2,5,1,1
5,1,3,1,7
NA,98,7,22,1
1,1,5,1,1
5,99,7,1,1
1,98,7,1,1
1,98,3,1,1
1,97,7,19,1
5,1,5,1,5
5,98,3,1,1
5,1,3,1,1
5,98,7,20,1
5,2,7,1,1
5,1,3,1,1
5,1,5,1,1
1,2,3,1,1
5,98,7,1,1
5,2,7,1,1
5,2,7,1,1
5,1,3,1,1
5,98,3,1,7
1,1,7,1,1
5,2,7,1,1
5,1,3,18,1
5,1,7,1,1
1,1,7,2,1
5,2,7,1,5
5,2,7,1,1
5,98,7,1,1
1,99,7,1,3
1,2,7,1,1
5,1,5,1,1
5,1,3,14,1
1,2,7,5,1
5,99,7,1,7
1,1,1,1,1
1,2,3,1,1
5,98,3,1,1
1,2,5,2,1
5,2,5,1,1
5,98,5,19,1
5,4,7,1,1
5,1,7,1,1
1,4,7,1,1
5,98,3,1,1
5,98,3,1,1
5,98,7,1,3
1,2,7,18,1
1,4,7,1,1
5,4,5,1,1
5,98,5,1,1
1,1,3,1,1
5,2,5,1,1
5,2,7,1,1
5,98,3,0,1
5,1,5,15,3
5,3,7,1,3
5,1,3,1,1
1,98,1,1,8
1,2,5,22,1
5,0,5,21,1
5,98,7,1,1
1,2,7,1,1
5,1,7,14,1
1,2,7,1,7
5,4,7,1,1
5,2,7,1,1
5,98,5,1,3
1,98,3,1,1
5,98,7,1,1
1,98,5,1,1
5,1,3,18,1
NA,2,5,1,1
1,1,5,1,1
5,2,7,6,1
1,98,7,1,1
5,1,5,1,1
5,2,7,19,1
5,3,3,1,3
5,98,7,1,1
5,1,7,1,1
NA,98,1,1,3
5,2,7,1,1
5,1,7,1,1
5,2,5,1,3
5,1,7,1,1
5,4,3,1,1
1,2,7,1,1
5,3,3,1,1
1,98,7,4,1
5,98,3,1,1
5,2,7,1,1
NA,4,1,1,1
5,2,5,1,1
NA,98,5,1,1
5,2,7,1,8
5,96,5,1,7
1,99,5,1,1
1,98,7,1,1
1,1,1,1,1
5,2,5,1,3
5,2,7,5,1
5,2,7,1,1
5,2,7,9,1
5,4,7,5,1
1,98,3,1,1
5,1,7,1,1
5,4,3,7,1
5,98,7,1,1
5,2,7,2,1
5,2,3,1,1
5,98,5,10,1
5,2,7,1,7
NA,2,7,1,3
5,2,7,1,1
NA,3,7,1,1
5,99,7,9,1
NA,1,3,1,1
NA,98,7,1,1
5,1,7,1,1
5,4,7,1,1
5,98,5,1,1
5,1,1,2,1
5,99,7,1,1
1,98,7,12,3
5,98,7,1,1
5,2,3,1,1
1,2,5,1,1
1,98,7,1,1
NA,98,7,1,1
5,2,1,1,1
5,98,7,1,1
1,98,9,1,3
5,98,7,1,1
NA,98,7,1,5
5,2,7,1,1
5,2,7,19,1
5,1,1,1,1
5,98,5,1,3
1,4,3,1,1
1,4,5,1,1
5,2,7,1,1
1,2,5,1,1
5,2,7,1,1
1,1,7,1,7
5,4,7,1,1
5,1,5,1,1
5,3,5,2,3
5,2,7,14,1
5,0,3,1,1
5,98,7,1,1
1,98,5,21,1
5,98,3,1,1
NA,98,7,1,3
5,1,3,1,1
5,98,7,12,1
1,98,3,1,1
1,2,7,15,1
5,98,3,1,1
5,2,3,1,1
1,2,7,1,1
5,2,3,1,1
5,98,7,1,1
1,98,1,1,1
1,2,5,1,1
5,2,7,20,1
5,98,5,1,1
5,1,3,1,1
5,98,5,1,1
5,96,7,1,7
1,98,7,1,1
5,2,3,1,1
5,98,7,1,1
5,1,5,1,7
5,3,3,2,1
5,2,7,14,1
5,4,7,11,1
NA,98,7,1,3
5,3,5,1,1
5,2,1,19,1
5,4,5,1,1
1,98,7,1,3
1,0,7,1,3
5,99,7,1,1
5,98,5,1,1
5,98,3,1,1
1,0,7,1,1
5,2,7,19,3
5,4,7,1,1
5,3,3,1,1
1,98,7,1,1
5,98,5,1,3
1,2,7,1,1
1,2,7,1,1
5,98,7,1,1
5,2,7,2,1
5,98,5,22,1
5,2,5,2,1
5,2,1,1,1
5,4,7,2,1
NA,98,5,1,1
1,2,8,1,1
5,2,7,1,1
5,98,7,1,1
5,1,7,1,1
1,2,3,1,1
5,0,7,1,1
5,4,7,1,5
5,99,5,1,1
5,1,3,1,1
5,1,3,1,1
5,2,7,2,1
5,0,7,1,1
5,2,7,1,1
NA,1,5,1,1
5,2,7,1,3
5,1,3,1,1
1,99,7,1,1
1,1,7,1,1
5,98,5,1,1
5,2,7,1,1
5,2,7,14,3
5,1,1,1,1
5,96,7,1,7
5,4,5,7,1
5,98,1,1,1
1,1,5,0,5
5,98,7,1,3
5,0,5,1,3
5,2,7,1,1
5,2,7,1,1
1,2,7,1,1
1,2,7,0,1
NA,0,5,1,1
5,3,7,1,1
1,4,3,1,1
5,2,7,1,1
5,98,1,1,7
5,4,3,1,5
5,2,7,1,1
1,1,1,1,1
1,2,7,1,1
5,2,5,1,1
5,2,7,1,1
5,0,7,1,1
5,2,5,1,1
1,2,7,1,1
1,2,7,1,1
1,2,7,1,1
1,1,3,1,1
5,4,3,2,1
5,4,5,1,1
5,2,7,7,1
5,1,3,1,1
5,2,5,1,1
5,1,7,1,1
5,2,3,1,1
5,96,7,1,7
5,98,7,1,3
1,2,7,18,1
5,2,7,1,1
5,96,5,99,7
1,2,7,1,1
5,2,7,1,1
5,98,7,1,1
5,4,5,22,1
5,2,7,1,1
5,3,7,1,3
5,2,3,1,1
5,3,5,1,1
1,99,5,1,1
1,98,7,1,1
5,2,5,1,1
5,2,7,5,1
1,3,3,1,1
NA,1,7,1,1
5,2,5,5,1
5,2,7,14,1
5,4,5,1,3
5,2,7,1,1
5,98,5,1,1
NA,99,7,22,1
5,4,3,1,1
5,1,5,17,3
1,98,7,1,3
5,98,5,1,1
1,2,3,2,1
5,2,5,1,3
5,2,7,1,1
5,98,5,1,1
5,2,7,1,1
5,1,7,1,1
1,2,7,1,3
5,98,5,19,5
5,4,3,1,1
5,98,7,1,3
5,2,3,1,1
5,2,7,1,1
5,2,5,1,1
5,98,3,1,1
5,98,3,1,1
1,98,7,1,1
NA,1,3,1,1
5,98,5,1,1
5,1,1,1,1
5,4,1,1,1
5,2,7,99,1
5,98,5,1,1
1,2,5,1,1
5,98,5,1,1
5,2,7,0,1
5,3,7,1,7
5,4,3,1,1
1,99,7,1,3
5,4,5,1,1
5,3,7,1,1
5,2,7,1,1
5,98,5,16,1
5,3,7,2,1
1,1,3,2,1
5,4,3,2,1
5,98,7,1,1
5,4,7,1,1
1,0,7,1,1
5,99,5,1,1
5,3,3,1,1
5,2,5,1,3
5,2,7,1,3
5,99,8,2,1
5,2,3,1,1
5,2,3,2,1
5,4,7,1,1
1,2,7,1,1
1,98,7,9,1
NA,2,7,1,1
1,1,3,1,1
1,4,7,1,1
5,98,7,19,3
5,98,7,1,1
5,2,3,1,1
5,4,7,1,1
5,97,3,1,5
5,98,7,9,1
5,0,7,1,1
5,2,5,1,1
5,98,5,1,1
5,4,5,1,1
5,98,5,1,3
1,2,7,16,1
NA,2,5,1,1
5,2,5,1,3
NA,99,7,19,3
5,98,7,10,1
5,2,7,1,1
1,98,3,1,1
5,2,5,1,1
NA,1,3,1,1
5,2,5,1,1
5,2,1,1,1
5,2,7,1,1
1,4,5,1,1
5,99,5,1,1
5,2,7,1,1
5,2,3,1,1
5,98,7,1,1
1,98,3,1,1
5,4,7,18,1
5,1,7,1,1
5,2,7,13,8
5,97,8,1,7
5,1,3,1,3
1,98,3,1,1
1,2,7,1,1
5,99,7,1,1
5,99,5,2,1
5,2,5,1,1
5,4,5,1,1
5,98,7,1,1
5,2,7,1,1
NA,98,5,1,1
NA,2,3,6,1
1,2,7,1,1
5,4,7,7,1
5,1,3,1,1
5,98,5,19,3
5,99,5,1,1
5,3,7,1,1
1,4,7,1,1
1,1,3,1,1
5,0,3,1,1
1,2,7,6,3
5,0,3,16,3
5,3,7,1,1
1,99,3,14,1
5,1,3,12,1
1,1,7,1,1
5,98,7,1,1
5,2,7,1,8
5,98,5,1,1
5,98,7,2,3
5,98,1,1,1
5,2,7,0,3
5,2,5,1,1
5,2,5,1,1
5,2,7,1,1
1,4,7,7,1
5,4,7,1,1
1,1,7,1,1
5,1,1,1,1
5,2,5,1,7
1,2,3,1,1
5,2,7,19,7
5,2,7,16,1
5,98,1,1,1
5,96,7,1,1
5,98,5,1,1
1,98,7,9,1
1,2,7,1,1
5,2,5,1,1
5,2,5,1,1
5,98,3,1,1
1,4,1,1,1
5,4,1,1,1
5,98,5,1,3
5,4,5,1,1
NA,97,8,22,5
5,4,7,1,1
5,98,7,1,1
5,98,3,1,1
5,1,3,1,1
5,98,7,15,1
5,3,7,1,1
5,98,7,1,1
5,2,7,1,3
1,96,7,1,7
5,2,7,14,1
NA,2,5,1,3
NA,1,7,1,1
5,4,7,1,1
NA,4,7,0,1
5,2,3,15,1
5,99,5,5,1
5,2,3,1,1
5,96,7,1,7
5,3,5,1,1
5,1,3,1,3
5,97,7,1,7
5,2,8,1,1
5,1,3,1,1
1,1,3,2,1
1,2,5,5,1
5,98,3,1,1
NA,2,5,1,1
5,98,3,1,1
5,4,7,13,1
5,4,7,1,1
5,98,7,9,1
1,98,7,19,1
5,98,5,1,1
5,4,7,5,1
1,98,5,20,1
5,2,7,9,1
5,2,3,1,1
1,2,1,7,1
5,98,3,17,1
1,2,7,19,1
5,98,7,1,1
5,4,7,2,1
5,98,5,1,1
1,2,7,1,1
5,4,3,1,1
5,2,3,1,1
5,98,5,1,1
5,2,3,1,1
1,4,7,1,1
NA,99,3,1,1
5,98,3,1,1
NA,98,5,1,1
1,98,3,1,1
5,98,7,1,1
5,98,5,1,1
5,98,5,1,1
5,2,5,1,1
5,2,7,9,1
NA,1,7,1,1
5,2,3,1,1
1,98,5,1,3
1,98,7,1,3
1,2,5,1,1
5,98,7,1,1
5,2,5,1,1
5,97,7,1,1
5,98,3,1,5
5,98,1,1,1
5,0,7,1,1
5,2,7,8,1
1,2,5,1,1
5,98,7,1,8
1,4,7,1,1
5,2,7,2,1
5,98,7,1,1
1,2,7,1,1
5,2,7,1,1
5,98,5,2,1
5,2,3,1,1
1,2,5,1,1
1,98,7,1,1
5,2,7,1,1
1,98,3,1,3
5,2,5,1,3
NA,1,3,1,1
5,2,7,1,1
5,2,7,1,1
NA,4,3,1,1
5,98,5,1,1
NA,2,7,1,1
1,0,5,1,1
NA,2,7,1,1
5,1,3,1,1
1,99,7,1,1
5,2,7,1,1
5,98,7,1,1
5,2,3,1,1
5,2,7,1,1
5,98,5,1,1
5,1,3,1,1
5,2,5,1,1
5,4,3,1,1
5,2,7,9,1
5,98,3,99,1
5,98,7,1,3
NA,2,7,9,7
5,98,7,1,1
5,2,1,1,1
5,98,5,0,1
NA,2,3,1,5
1,1,1,1,1
5,1,5,1,1
5,98,3,1,1
5,98,5,1,1
5,98,5,1,1
1,2,7,1,1
5,98,7,1,3
5,4,5,1,3
5,1,1,1,1
5,4,5,1,1
5,1,3,1,1
1,2,7,1,1
5,99,7,1,1
5,2,7,1,1
5,3,7,1,1
5,4,7,1,3
5,2,3,22,1
1,4,7,1,1
NA,2,7,18,1
5,2,3,1,1
5,2,3,1,1
5,2,7,17,1
5,2,3,1,3
5,2,7,1,1
1,99,7,1,1
5,4,7,1,1
